[auto 2026-08-23T01:41:59-04:00] autopilot start: max 24 arms, then the eval battery
[auto 2026-08-23T01:41:59-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:05:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:10:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:15:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:20:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:25:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:30:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:35:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:40:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:45:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:50:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T06:55:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:00:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:05:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:10:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:15:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:20:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:25:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:30:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:35:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:40:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:45:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:50:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T07:55:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:00:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:05:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:10:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:15:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:20:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:25:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:30:43-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:50:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T08:55:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:00:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:05:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:10:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:15:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:20:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:25:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:30:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:50:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T09:55:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:00:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:05:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:10:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:15:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:20:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:25:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:30:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:50:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T10:55:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:00:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:05:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:10:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:15:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:20:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:25:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:30:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:50:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T11:55:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:00:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:05:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:10:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:15:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:20:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:25:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:30:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:35:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:40:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:45:44-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:50:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T12:55:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:00:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:05:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:10:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:15:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:20:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:25:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:30:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:35:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:40:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:45:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:50:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T13:55:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:00:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:05:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:10:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:15:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:20:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:25:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:30:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:35:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:40:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:45:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:50:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T14:55:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:00:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:05:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:10:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:15:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:20:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:25:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:30:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:35:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:40:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:45:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:50:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T15:55:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:00:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:05:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:10:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:15:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:20:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:25:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:30:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:35:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:40:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:45:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:50:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T16:55:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:00:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:05:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:10:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:15:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:20:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:25:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:30:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:35:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:40:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:45:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:50:45-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T17:55:46-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-24T18:00:46-04:00] GPU busy (another chain or a model resident); waiting
ingest s3recap-p25b-p2-b0.3: tau 3.7700 cfg {'a_ce': 0.1, 'a_tv': 0.9, 'deficit': 1, 'beta': 0.3, 'anchor_pow': 2.0, 'deficit_clamp': 3.0, 'pos_per_seq': 16}
ingest s3recap-p25b-p2-b0.2: tau 3.8163 cfg {'a_ce': 0.1, 'a_tv': 0.9, 'deficit': 1, 'beta': 0.2, 'anchor_pow': 2.0, 'deficit_clamp': 3.0, 'pos_per_seq': 16}

2 ingested, 0 skipped
[auto 2026-08-24T18:05:46-04:00] queue empty -- proposing the next generation
# incumbent s3recap-p25-b0.1  tau 3.8413  release FAIL
[auto 2026-08-24T18:05:46-04:00] proposed: 3 arm(s)
[auto 2026-08-24T18:05:46-04:00] ARM auto-ace0p3: a_ce=0.3 a_tv=0.7 deficit=1 beta=0.1 anchor_pow=1.0 dclamp=3.0 pos=16
[auto 2026-08-24T20:37:30-04:00] RESULT auto-ace0p3: tau=3.8462 release=fail
[auto 2026-08-24T20:37:30-04:00] reclaim: removed 4 intermediate files, 42 GB free

0 ingested, 0 skipped
[auto 2026-08-24T20:37:30-04:00] ARM auto-anchorpow1p5: a_ce=0.1 a_tv=0.9 deficit=1 beta=0.1 anchor_pow=1.5 dclamp=3.0 pos=16
[auto 2026-08-24T23:09:46-04:00] RESULT auto-anchorpow1p5: tau=3.8112 release=fail
[auto 2026-08-24T23:09:46-04:00] reclaim: removed 0 intermediate files, 19 GB free
[auto 2026-08-24T23:09:46-04:00] FATAL: only 19 GB free after reclaim -- refusing to start an arm that will die mid-chunk
[auto 2026-08-25T01:03:05-04:00] autopilot start: max 4 arms, then the eval battery
[auto 2026-08-25T01:03:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:08:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:13:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:18:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:23:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:28:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:33:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:38:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:43:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:48:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:53:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T01:58:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:03:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:08:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:13:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:18:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:23:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:28:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:33:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:38:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:43:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:48:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:53:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T02:58:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:03:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:08:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:13:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:18:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:23:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:28:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:33:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:38:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:43:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:48:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:53:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T03:58:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:03:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:08:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:13:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:18:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:23:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:28:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:33:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:38:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:43:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:48:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:53:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T04:58:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:03:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:08:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:13:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:18:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:23:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:28:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:33:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:38:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:43:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:48:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:53:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T05:58:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:03:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:08:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:13:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:18:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:23:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:28:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:33:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:38:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:43:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:48:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:53:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T06:58:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:03:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:08:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:13:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:18:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:23:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:28:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:33:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:38:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:43:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:48:05-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:53:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T07:58:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:03:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:08:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:13:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:18:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:23:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:28:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:33:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:38:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:43:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:48:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:53:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T08:58:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:03:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:08:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:13:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:18:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:23:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:28:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:33:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:38:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:43:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:48:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:53:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T09:58:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:03:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:08:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:13:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:18:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:23:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:28:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:33:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:38:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:43:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:48:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:53:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T10:58:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T11:03:06-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T11:08:06-04:00] reclaim: removed 8 intermediate files, 6 GB free
[auto 2026-08-25T11:08:06-04:00] FATAL: only 6 GB free after reclaim -- refusing to start an arm that will die mid-chunk
[auto 2026-08-25T13:55:07-04:00] autopilot start: max 2 arms, then the eval battery
[auto 2026-08-25T13:55:07-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T14:00:07-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T14:05:07-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T14:10:07-04:00] GPU busy (another chain or a model resident); waiting
[auto 2026-08-25T14:15:07-04:00] GPU busy (another chain or a model resident); waiting
